id,site,holeID,id.1,positionerID,robotailID,wokID,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
0,APO,R-1C14,0,3,FTO247,flatNominal,247,247,7.39101267553251,14.253911258464832,0.0,14.8996120162419,0.3763718797352575,14.911824024780104,-0.3607783658922477,0.9080522368072312,0.4870595085199679,0.09972470700003108,0.15492634688402165
1,APO,R+7C7,1,16,FTO392,flatNominal,392,392,7.363654137219877,14.307013437189774,0.0,14.950959964510329,0.3800176999252778,14.95398677115498,-0.3566896891881774,0.3138203910626939,0.004993625904685596,0.19550131590614636,-0.227149293911481
2,APO,R+12C6,2,40,FTO306,flatNominal,306,306,7.416557984992614,14.346747128776144,0.0,14.990323217430129,0.377454366281077,14.990464915936583,-0.3780187099716899,1.3880025298342176,0.335955378087969,0.1325280487482419,-0.20501211300121652
3,APO,R+5C17,3,52,FTO443,flatNominal,443,443,7.358670087430727,14.294736598127127,0.0,14.938312686781098,0.3774543662810704,14.936261226582154,-0.3522603006214477,-0.11214498446384563,0.05752589507361815,0.15949752795242278,-0.2639701025827661
4,APO,R-8C4,4,56,FTO11512,flatNominal,83,83,7.379846619531984,14.324893753539524,0.0,14.968469842193509,0.3774543662810805,14.947850033344873,-0.3847791941990053,0.20831003833096096,0.1371784909045907,0.18802837233151765,-0.07664642539246894
5,APO,R+5C19,5,63,FTO445,flatNominal,445,445,7.385955328230863,14.331372041498241,0.0,14.97494813015222,0.377454366281077,14.988986628029737,-0.3744685174114953,-0.36047118587970756,0.105161880344559,0.09500090346877182,-0.11000374874972842
6,APO,R-4C9,6,71,FTO170,flatNominal,170,170,7.396977864131921,14.324024354106111,0.0,14.974729284724503,0.3617619843121363,14.961299793748372,-0.3860122021203621,0.1229093223379057,0.4126744646654371,0.2076476215559427,-0.08004265572086301
7,APO,R-5C11,7,78,FTO150,flatNominal,150,150,7.328547023903031,14.306438263685616,0.0,14.949604301398272,0.3752778449644562,14.956789290107011,-0.3614931054129972,0.34164264080050766,-0.45392976684763253,0.1860745088205963,-0.1256645233045774
8,APO,R-12C11,8,86,FTO24,flatNominal,24,24,7.4266213637627505,14.375721596282643,0.0,15.019297684936628,0.3774543662810816,15.014132115441168,-0.3703957617323684,-0.4536545580270117,0.09604559176233798,0.1406201957087237,-0.06017058328414052
9,APO,R-8C3,9,103,FTO82,flatNominal,82,82,7.332433174655558,14.338037019426887,0.0,14.985318496850299,0.3891077924404829,15.003396779754583,-0.3493485923689865,0.24767216528743785,0.07976839551161381,0.1923569331642863,-0.10448498590981002
10,APO,R-3C24,10,107,FTO208,flatNominal,208,208,7.433517461788911,14.313783661590291,0.0,14.967545685338388,0.3606812803316225,14.960809211293368,-0.3825727756212686,0.43663642753655546,-0.041682645368581475,0.0847160013495387,-0.18271724952846677
11,APO,R-1C13,11,110,FTO246,flatNominal,246,246,7.391873799100937,14.281934686328515,0.0,14.935836327141324,0.3742442868961387,14.927145156839192,-0.3649523470056251,1.3842080942588635,-0.14797344729316372,0.10294657565354293,-0.1761929443481751
12,APO,R-12C15,12,114,FTO28,flatNominal,28,28,7.417047201264628,14.355366519501597,0.0,15.012185047369774,0.3597242333232405,15.003165601198218,-0.3839674444133841,-0.07841472100058014,-0.1347061321952255,-0.04230964037100549,-0.18146224439375977
13,APO,R-11C13,13,115,FTO41,flatNominal,41,41,7.397351934235167,14.359298642983468,0.0,15.002043088356842,0.3785812790756254,15.009635270460768,-0.3609601117811493,-0.11767677475456796,0.007483981295450386,0.1476129966981074,-0.1403495215568552
14,APO,R-1C9,14,117,FTO242,flatNominal,242,242,7.439236737694903,14.348748185996294,0.0,14.990096767045017,0.389848543502571,15.008264210620357,-0.3523573666992477,0.0018352015306764891,0.24218736562420987,0.1931907622790983,-0.13415108365131265
15,APO,R0C6,15,119,FTO265,flatNominal,265,265,7.384014508645451,14.319072830357701,0.0,14.96264891901168,0.3774543662810675,14.98847947129286,-0.3528224459835647,0.4200357424382499,0.2147944107423319,0.1636491602747613,-0.3618605007305319
16,APO,R-7C13,16,120,FTO111,flatNominal,111,111,7.389008189111387,14.336703907844807,0.0,14.980198932913261,0.3831474736560195,14.973599619043808,-0.3668371016016494,-0.294382393686647,0.5460755538758824,0.1980728767240281,-0.2240098809752657
17,APO,R-6C12,17,124,FTO130,flatNominal,130,130,7.380936981371179,14.324017960525628,0.0,14.967594049179594,0.3774543662810879,14.968356066488887,-0.3621581654237937,0.23791262814060876,-0.0394652430840077,0.21353197995056777,-0.14997091327941778
18,APO,R-7C19,18,126,FTO117,flatNominal,117,117,7.402249278693979,14.2934019969851,0.0,14.93697808563907,0.3774543662810952,14.953592291787265,-0.3638192494782808,0.5350986441612509,0.001960957695759312,0.14271265611432046,-0.11241283273321868
19,APO,R-6C21,19,129,FTO139,flatNominal,139,139,7.399568280178728,14.289491656932961,0.0,14.925051808973873,0.385599186156754,14.948392683315179,-0.3548306743942595,0.6824632016951507,-0.04027962756323336,0.08712237409970977,-0.1739037893334561
20,APO,R-9C15,20,130,FTO76,flatNominal,76,76,7.413860249927967,14.36211410338847,0.0,15.005690192042445,0.3774543662810756,15.010769462170574,-0.3545258245390624,0.8787289474304574,-0.07200699225727347,0.174855164473534,-0.13057007929602357
21,APO,R-10C12,21,136,FTO56,flatNominal,56,56,7.395146145468861,14.330644292044035,0.0,14.974220380698,0.3774543662810914,14.988628365899876,-0.335701773151672,0.16794965855134936,-0.20580266368207467,0.23536476425530256,-0.03359731899781899
