,Unnamed: 0,site,id,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
0,0,APO,1,-284.87828462320397,163.55504653358548,0,0.4936335537791149,0.8696700032675622,0,-0.8696700032675622,0.493633553779115,0,0,0,1
1,1,APO,2,-0.5422202552031864,327.7181043848349,0,0.9999793167584708,0.0064316448333083,0,-0.0064316448333082,0.9999793167584708,0,0,0,1
2,2,APO,3,283.44509559861893,164.97574848210826,0,0.5069074927701224,-0.8620004604253458,0,0.8620004604253458,0.5069074927701224,0,0,0,1
3,3,APO,4,284.2191069509792,-163.5706512779849,0,-0.4979066086335663,-0.8672306550618588,0,0.8672306550618588,-0.4979066086335663,0,0,0,1
4,4,APO,5,0.6757899972071194,-327.8183305472666,0,-0.99999390022361,-0.0034927804930538,0,0.0034927804930538,-0.99999390022361,0,0,0,1
5,5,APO,6,-284.0580943718222,-164.68535546074438,0,-0.5120675897106527,0.8589451574855769,0,-0.8589451574855769,-0.5120675897106527,0,0,0,1
