,site,holeID,Sextant,CAN,Device,deviceID,ofaID,Row,Column,apogeeST,bossST,metST,BOSSFiber,APOGEETrib,MTPFiber,LongLinkMTP,Comments,positionerID,APOGEEFiber
46,LCO,R+3C10,1,3,Positioner,P0024,11289,R+3,C10,14E,14E,14E,24,,,,,24,
47,LCO,R+9C4,1,3,Positioner,P0584,225,R+9,C4,15A,15A,15A,15,,,,,584,
48,LCO,R+10C3,1,3,Positioner,P0616,323,R+10,C3,15B,15B,15B,16,C201650004,C1,1,,616,13
49,LCO,R+11C2,1,3,Positioner,P571,11494,R+11,C2,15C,15C,15C,17,,,,,571,
50,LCO,R+10C2,1,3,Positioner,P0230,446,R+10,C2,15D,15D,15D,18,,,,,230,
51,LCO,R+9C2,1,3,Positioner,P0836,10919,R+9,C2,15E,15E,15E,19,,,,,836,
52,LCO,R+2C2,1,3,Positioner,P0700,10750,R+2,C2,16A,16A,16A,10,,,,,700,
53,LCO,R+1C2,1,3,Positioner,P0625,223,R+1,C2,16B,16B,16B,11,,,,,625,
54,LCO,R+1C1,1,3,Positioner,P1199,10734,R+1,C1,16C,16C,16C,12,C201650004,B4,1,,1199,10
55,LCO,R+6C2,1,3,Fiducial,FTO-201073,201073,R+6,C2,19DA,19DA,19DA,,,,,,0,
56,LCO,R+8C2,1,3,Positioner,P0686,213,R+8,C2,4A,4A,4A,71,,,,,686,
57,LCO,R+7C2,1,3,Positioner,P1029,10967,R+7,C2,4B,4B,4B,72,,,,,1029,
58,LCO,R+5C2,1,3,Positioner,P0168,11017,R+5,C2,4C,4C,4C,73,,,,,168,
59,LCO,R+4C2,1,3,Positioner,P0931,314,R+4,C2,4D,4D,4D,74,,,,,931,
60,LCO,R+3C2,1,3,Positioner,P0006,11117,R+3,C2,4E,4E,4E,75,,,,,6,
61,LCO,R+4C9,1,3,Positioner,P0536,214,R+4,C9,5A,5A,5A,66,C11141009,B4,2,,536,40
62,LCO,R+5C8,1,3,Positioner,P1320,11116,R+5,C8,5B,5B,5B,67,,,,,1320,
63,LCO,R+6C7,1,3,Positioner,P1394,158,R+6,C7,5C,5C,5C,68,C11141009,B5,2,,1394,41
64,LCO,R+7C6,1,3,Positioner,P0788,403,R+7,C6,5D,5D,5D,69,,,,,788,
65,LCO,R+8C5,1,3,Positioner,P0618,146,R+8,C5,5E,5E,5E,70,C11141009,B6,2,,618,42
66,LCO,R+1C13,1,4,Positioner,P1307,10912,R+1,C13,16D,16D,16D,13,C201650004,B5,1,,1307,11
67,LCO,R+3C11,1,4,Positioner,P1366,10976,R+3,C11,16E,16E,16E,14,C201650004,B6,1,,1366,12
68,LCO,R+11C3,1,4,Positioner,P0401,115,R+11,C3,17A,17A,17A,5,C201650004,A5,1,,401,5
69,LCO,R+12C2,1,4,Positioner,P0438,145,R+12,C2,17B,17B,17B,6,C201650004,A6,1,,438,6
70,LCO,R+13C1,1,4,Positioner,P0569,147,R+13,C1,17C,17C,17C,7,C201650004,B1,1,,569,7
71,LCO,R+12C1,1,4,Positioner,P0183,11105,R+12,C1,17D,17D,17D,8,C201650004,B2,1,,183,8
72,LCO,R+11C1,1,4,Positioner,P0591,10972,R+11,C1,17E,17E,17E,9,C201650004,B3,1,,591,9
