,site,wokID,holeID,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
47,LCO,flatNominal,R-10C3,ApogeeBoss,-10.0,2.0,-134.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
48,LCO,flatNominal,R-10C4,Fiducial,-10.0,3.0,-112.0,-193.9897,0,0,-1,0,1,0,0,0,0,1
49,LCO,flatNominal,R-10C5,Boss,-10.0,4.0,-89.6,-193.9897,0,0,-1,0,1,0,0,0,0,1
50,LCO,flatNominal,R-10C6,Boss,-10.0,5.0,-67.2,-193.9897,0,0,-1,0,1,0,0,0,0,1
51,LCO,flatNominal,R-10C7,Fiducial,-10.0,6.0,-44.8,-193.9897,0,0,-1,0,1,0,0,0,0,1
52,LCO,flatNominal,R-10C8,Boss,-10.0,7.0,-22.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
53,LCO,flatNominal,R-10C9,Boss,-10.0,8.0,0.0,-193.9897,0,0,-1,0,1,0,0,0,0,1
54,LCO,flatNominal,R-10C10,Boss,-10.0,9.0,22.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
55,LCO,flatNominal,R-10C11,Fiducial,-10.0,10.0,44.8,-193.9897,0,0,-1,0,1,0,0,0,0,1
56,LCO,flatNominal,R-10C12,Boss,-10.0,11.0,67.2,-193.9897,0,0,-1,0,1,0,0,0,0,1
57,LCO,flatNominal,R-10C13,Boss,-10.0,12.0,89.6,-193.9897,0,0,-1,0,1,0,0,0,0,1
58,LCO,flatNominal,R-10C14,Fiducial,-10.0,13.0,112.0,-193.9897,0,0,-1,0,1,0,0,0,0,1
59,LCO,flatNominal,R-10C15,ApogeeBoss,-10.0,14.0,134.4,-193.9897,0,0,-1,0,1,0,0,0,0,1
60,LCO,flatNominal,R-10C16,Boss,-10.0,15.0,156.8,-193.9897,0,0,-1,0,1,0,0,0,0,1
61,LCO,flatNominal,R-10C17,ApogeeBoss,-10.0,16.0,179.2,-193.9897,0,0,-1,0,1,0,0,0,0,1
62,LCO,flatNominal,R-9C1,ApogeeBoss,-9.0,0.0,-190.4,-174.5907,0,0,-1,0,1,0,0,0,0,1
63,LCO,flatNominal,R-9C2,Boss,-9.0,1.0,-168.0,-174.5907,0,0,-1,0,1,0,0,0,0,1
64,LCO,flatNominal,R-9C3,ApogeeBoss,-9.0,2.0,-145.6,-174.5907,0,0,-1,0,1,0,0,0,0,1
65,LCO,flatNominal,R-9C4,Boss,-9.0,3.0,-123.2,-174.5907,0,0,-1,0,1,0,0,0,0,1
66,LCO,flatNominal,R-9C5,ApogeeBoss,-9.0,4.0,-100.8,-174.5907,0,0,-1,0,1,0,0,0,0,1
67,LCO,flatNominal,R-9C6,ApogeeBoss,-9.0,5.0,-78.4,-174.5907,0,0,-1,0,1,0,0,0,0,1
68,LCO,flatNominal,R-9C7,ApogeeBoss,-9.0,6.0,-56.0,-174.5907,0,0,-1,0,1,0,0,0,0,1
69,LCO,flatNominal,R-9C8,ApogeeBoss,-9.0,7.0,-33.6,-174.5907,0,0,-1,0,1,0,0,0,0,1
70,LCO,flatNominal,R-9C9,ApogeeBoss,-9.0,8.0,-11.2,-174.5907,0,0,-1,0,1,0,0,0,0,1
71,LCO,flatNominal,R-9C10,ApogeeBoss,-9.0,9.0,11.2,-174.5907,0,0,-1,0,1,0,0,0,0,1
