id,site,holeID,positionerID,wokID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
0,LCO,R+10C1,1157,flatNominal,7.36722443298326,14.346643050918953,0.0,14.997795714262733,0.3693361664257009,14.97133657012705,-0.36520458890422924,1.4116620744143522,0.338490526661632,-0.0669742860133468,-0.0615344891444835
1,LCO,R+10C10,41,flatNominal,7.402787437837283,14.321219996599291,0.0,14.96955875856744,0.3730349400869908,14.953982484805588,-0.3663462928563621,0.6302561953451039,0.2888888347531281,-0.0687337152181038,0.0297074189204509
2,LCO,R+10C12,817,flatNominal,7.402945046916736,14.33206651946362,0.0,14.98040528143177,0.3730349400869908,14.925800682460148,-0.43261574517733375,1.161361073075971,0.1390252070052741,-0.08262314759534,0.1135401432707757
3,LCO,R+10C13,494,flatNominal,7.408602896130958,14.34191508961326,0.0,14.99025385158141,0.3730349400869908,14.995742776254996,-0.3808303610533334,0.7744880943914678,0.7673683407850836,-0.0367302579782416,0.0606753452145527
4,LCO,R+10C15,1047,flatNominal,7.449144580451589,14.328381581915991,0.0,14.973438279006825,0.373478661362709,15.00221675728965,-0.3610861075527001,0.0527949443248337,-0.1798936555892823,-0.0545853413041175,0.0410523892710913
5,LCO,R+10C16,810,flatNominal,7.3670972833462205,14.348702842024869,0.0,14.99704160399302,0.3730349400869908,14.992066402793675,-0.3738369430244035,1.0438435448633436,0.4498386937460907,-0.0153515997818436,0.0831968896285412
6,LCO,R+10C17,579,flatNominal,7.385215799719802,14.314789147716183,0.0,14.954633440229312,0.3910116769513723,14.977217836080124,-0.349414065301961,0.6775651059353671,-0.0732588290464693,0.0020134786995904,0.1164244447003012
7,LCO,R+10C2,230,flatNominal,7.395554156948947,14.355469871282851,0.0,15.003808633251005,0.3730349400869908,15.007054290195756,-0.3521158598452204,0.293506850746186,1.8755657001248316,-0.1037200494043,-0.0309655308399244
8,LCO,R+10C3,616,flatNominal,7.43464778260355,14.315443614886394,0.0,14.9680904722836,0.3770941073549669,14.97776576350996,-0.356683004178865,0.2588028530800195,-0.0008722649971597,-0.0722748705477643,-0.0546693958659857
9,LCO,R+10C5,374,flatNominal,7.40418676629589,14.355366138435338,0.0,15.003704900403488,0.3730349400869908,14.995847374397266,-0.3931336308315944,0.3469449084109878,0.3752163640260082,-0.0652575366956708,-0.0253812030208384
10,LCO,R+10C6,405,flatNominal,7.406885651307983,14.327211817663146,0.0,14.975550579631296,0.3730349400869908,14.970749709945697,-0.3637999934388765,-0.084287590325744,-0.3758302757028637,-0.0964286172910804,-0.0168523089481083
11,LCO,R+10C8,454,flatNominal,7.438752328632772,14.356885725962364,0.0,15.005224487930514,0.3730349400869908,15.012666078582427,-0.34630865784794085,0.9427920722534692,0.2327431242062321,-0.0487444392337675,0.0007855443826991
12,LCO,R+10C9,516,flatNominal,7.425764589004757,14.360086742644418,0.0,15.008425504612566,0.3730349400869908,15.00954462264842,-0.35826397793614784,0.2548933167646875,-0.1052874310138242,-0.0575043530619872,0.0257873217314684
13,LCO,R+11C1,591,flatNominal,7.396412386541744,14.3062634546107,0.0,14.957400882501677,0.3636448933656642,14.930155211581583,-0.3805490208009947,0.375022763187507,-0.1998235569082268,-0.0442852249799269,-0.0419075574082403
14,LCO,R+11C10,750,flatNominal,7.334629527831703,14.328592937543622,0.0,14.993586260838107,0.3792457099341852,14.948766376385075,-0.35566621656530933,-0.4287954785031371,0.8366661244416991,-0.0621957229126552,-0.0034955183155286
15,LCO,R+11C11,1045,flatNominal,7.368293167768287,14.31389605267746,0.0,14.952053932097073,0.3756745830559349,14.952215671313429,-0.3610052119440686,0.7005622172121881,0.6813052140488873,-0.0504062191195092,0.0531905618671127
16,LCO,R+11C12,736,flatNominal,7.366650224483088,14.331636123753036,0.0,14.982570662840851,0.3820347767802383,14.980658983529947,-0.3771838119334628,-0.1384057358869518,0.3198685896696905,-0.0516374928850318,0.0505614989226853
17,LCO,R+11C13,1297,flatNominal,7.364181530173234,14.33580821409341,0.0,14.97807236965072,0.392252713124988,14.984601540665013,-0.3416422873486618,-0.1438714103461021,0.3617449098077414,-0.0385046354341819,0.0695083728324384
18,LCO,R+11C14,590,flatNominal,7.421965598287544,14.352175666710536,0.0,14.980590978989524,0.405063972462883,15.021941806790489,-0.3472136831520838,1.2327514194592617,-0.0114497149192166,-0.0365088791784005,0.0302597198444576
19,LCO,R+11C15,947,flatNominal,7.383437881612044,14.321275647560569,0.0,14.969614409528717,0.3730349400869908,14.987994346555878,-0.348023336268104,0.6814844995109173,-0.3220659326884719,-0.0112733303879147,0.0689657308263547
20,LCO,R+11C16,1233,flatNominal,7.372706718355696,14.326419941989617,0.0,14.97510864453036,0.3603295917462301,14.980804233140264,-0.370075469052619,0.601224458840957,0.3973541627275273,0.0356034954673235,0.073339521748333
21,LCO,R+11C2,571,flatNominal,7.341177240281924,14.34042688023276,0.0,14.988765642200908,0.3730349400869908,14.925718446669851,-0.43877131540884,-0.3583761793789053,0.7872753737572756,-0.0488075140157021,-0.0684535105843512
22,LCO,R+11C3,401,flatNominal,7.374878413554991,14.336470051048517,0.0,14.997408193980618,0.3278853568690859,14.940094144054813,-0.39844838739962296,1.1241629157414603,0.7837804310684282,-0.055970117862203,-0.0603768160040199
23,LCO,R+11C4,1282,flatNominal,7.385206705782359,14.336520457201622,0.0,14.968317644257828,0.3774903335359362,14.991457273520728,-0.3404765110834012,-1.2793793748178364,0.3175994874868674,-0.0894633166911544,-0.0287037491391937
